player_id,name,span,bating_style,playing_role,country,matches,innings,runs,strike_rate,average_score,not_out,100s,50,4s,6s,years_played,batting_score,Runs_per_year,Runs_per_inning,Runs_by_6s,6s_runs_percentage,Runs_by_4s,4s_runs_percentage
506612,MJ Henry,2014-2022,right-hand bat,bowler,New Zealand,65,25.0,223.0,92.91,13.11,8.0,0.0,0.0,19.0,9.0,8,22.97774193548387,27.875,8.92,54.0,24.2152466367713,76.0,34.08071748878923
388802,TWM Latham,2012-2023,left-hand bat,wicketkeeper batter,New Zealand,123,113.0,3467.0,85.28,35.02,14.0,7.0,18.0,298.0,49.0,11,49.650965918537,315.1818181818182,30.68141592920354,294.0,8.479953850591288,1192.0,34.381309489472166
355269,JDS Neesham,2013-2022,left-hand bat,batting allrounder,New Zealand,71,61.0,1409.0,98.94,28.18,11.0,0.0,6.0,123.0,35.0,9,43.8660981749528,156.55555555555554,23.098360655737704,210.0,14.9041873669269,492.0,34.918381831085874
539511,HM Nicholls,2015-2023,left-hand bat,top-order batter,New Zealand,61,59.0,1652.0,81.82,34.41,11.0,1.0,13.0,153.0,16.0,8,48.44577475694743,206.5,28.0,96.0,5.811138014527845,612.0,37.04600484261501
526441,MR Adair,2019-2023,right-hand bat,bowling allrounder,Ireland,29,22.0,261.0,105.66,20.07,9.0,0.0,0.0,17.0,14.0,4,33.73254115962777,65.25,11.863636363636363,84.0,32.18390804597701,68.0,26.053639846743295
303423,A Balbirnie,2010-2023,right-hand bat,batter,Ireland,89,86.0,2665.0,75.71,33.31,6.0,8.0,13.0,257.0,34.0,13,46.26490735644836,205.0,30.988372093023255,204.0,7.654784240150094,1028.0,38.574108818011254
348034,GH Dockrell,2010-2023,right-hand bat,allrounder,Ireland,105,73.0,928.0,77.98,18.93,24.0,0.0,3.0,76.0,17.0,13,30.464583634299863,71.38461538461539,12.712328767123287,102.0,10.991379310344827,304.0,32.758620689655174
417381,AR McBrine,2014-2023,left-hand bat,bowler,Ireland,70,46.0,672.0,71.33,19.76,12.0,0.0,2.0,60.0,11.0,9,30.94699308376331,74.66666666666667,14.608695652173912,66.0,9.821428571428571,240.0,35.714285714285715
348059,BJ McCarthy,2016-2021,right-hand bat,bowler,Ireland,38,26.0,162.0,56.84,8.1,6.0,0.0,0.0,13.0,1.0,5,14.179365568216816,32.4,6.230769230769231,6.0,3.7037037037037033,52.0,32.098765432098766
1005257,Simi Singh,2017-2022,right-hand bat,bowling allrounder,Ireland,35,30.0,593.0,72.76,22.8,4.0,1.0,1.0,47.0,7.0,5,34.72013394725827,118.6,19.766666666666666,42.0,7.082630691399664,188.0,31.703204047217536
303427,PR Stirling,2008-2023,right-hand bat,batting allrounder,Ireland,142,138.0,5230.0,86.54,38.74,3.0,13.0,26.0,562.0,121.0,15,53.52106641123883,348.6666666666667,37.89855072463768,726.0,13.881453154875716,2248.0,42.98279158699809
961407,HT Tector,2020-2023,right-hand bat,middle-order batter,Ireland,26,25.0,1071.0,80.7,53.55,5.0,3.0,8.0,85.0,21.0,3,64.37966480446929,357.0,42.84,126.0,11.76470588235294,340.0,31.746031746031743
928057,LJ Tucker,2019-2023,right-hand bat,wicketkeeper batter,Ireland,32,26.0,483.0,71.66,20.12,2.0,0.0,2.0,31.0,8.0,4,31.418592285901067,120.75,18.576923076923077,48.0,9.937888198757763,124.0,25.672877846790893
8917,MM Ali,2014-2023,left-hand bat,batting allrounder,England,126,100.0,2154.0,100.09,25.34,15.0,3.0,6.0,186.0,74.0,9,40.441371282787216,239.33333333333334,21.54,444.0,20.61281337047354,744.0,34.540389972144844
8608,JM Anderson,2002-2015,left-hand bat,bowler,England,194,79.0,273.0,48.66,7.58,43.0,0.0,0.0,23.0,0.0,13,13.11674253200569,21.0,3.4556962025316458,0.0,0.0,92.0,33.6996336996337
297433,JM Bairstow,2011-2022,right-hand bat,wicketkeeper batter,England,95,86.0,3634.0,104.12,46.58,8.0,11.0,15.0,408.0,89.0,11,64.36509090909091,330.3636363636364,42.25581395348837,534.0,14.694551458447991,1632.0,44.90919097413318
297628,SW Billings,2015-2022,right-hand bat,wicketkeeper batter,England,28,23.0,702.0,91.05,33.42,2.0,1.0,5.0,74.0,8.0,7,48.89356471438901,100.28571428571429,30.52173913043478,48.0,6.837606837606838,296.0,42.16524216524217
10617,SCJ Broad,2006-2016,left-hand bat,bowler,England,121,68.0,529.0,74.61,12.3,25.0,0.0,0.0,35.0,10.0,10,21.118467380048326,52.9,7.779411764705882,60.0,11.342155009451796,140.0,26.46502835538752
308967,JC Buttler,2012-2023,right-hand bat,wicketkeeper batter,England,162,135.0,4536.0,118.09,41.61,26.0,11.0,23.0,368.0,156.0,11,61.53694301815905,412.3636363636364,33.6,936.0,20.634920634920633,1472.0,32.451499118165785
249866,AD Hales,2014-2019,right-hand bat,opening batter,England,70,67.0,2419.0,95.72,37.79,3.0,6.0,14.0,276.0,50.0,5,54.187084113549545,483.8,36.1044776119403,300.0,12.401818933443572,1104.0,45.638693675072346
288992,CJ Jordan,2013-2022,right-hand bat,bowler,England,35,24.0,184.0,87.2,12.26,9.0,0.0,0.0,12.0,5.0,9,21.497526643876935,20.444444444444443,7.666666666666667,30.0,16.304347826086957,48.0,26.08695652173913
495964,RP Burl,2017-2023,left-hand bat,middle-order batter,Zimbabwe,37,32.0,617.0,76.26,22.85,5.0,0.0,4.0,50.0,13.0,6,35.16377762082534,102.83333333333333,19.28125,78.0,12.641815235008103,200.0,32.414910858995135
293831,RW Chakabva,2008-2022,right-hand bat,wicketkeeper batter,Zimbabwe,61,57.0,1188.0,67.84,22.0,3.0,1.0,4.0,93.0,9.0,14,33.2252894033838,84.85714285714286,20.842105263157894,54.0,4.545454545454546,372.0,31.313131313131315
425639,TL Chatara,2013-2023,right-hand bat,bowler,Zimbabwe,80,54.0,192.0,46.94,6.62,25.0,0.0,0.0,16.0,2.0,10,11.60353995519044,19.2,3.5555555555555554,12.0,6.25,64.0,33.33333333333333
55354,CJ Chibhabha,2005-2023,right-hand bat,top-order batter,Zimbabwe,109,109.0,2474.0,63.22,23.12,2.0,0.0,16.0,238.0,14.0,18,33.8579198517489,137.44444444444446,22.69724770642202,84.0,3.395311236863379,952.0,38.48019401778496
55412,CR Ervine,2010-2023,left-hand bat,middle-order batter,Zimbabwe,107,103.0,2948.0,75.01,32.39,12.0,3.0,18.0,275.0,37.0,13,45.24346182495344,226.76923076923077,28.62135922330097,222.0,7.530529172320217,1100.0,37.3134328358209
541224,LM Jongwe,2014-2023,right-hand bat,bowler,Zimbabwe,37,31.0,352.0,80.0,13.03,4.0,0.0,0.0,35.0,6.0,9,22.40997527679243,39.111111111111114,11.35483870967742,36.0,10.227272727272728,140.0,39.77272727272727
938959,W Madhevere,2020-2023,right-hand bat,allrounder,Zimbabwe,26,25.0,487.0,73.45,19.48,0.0,0.0,4.0,43.0,3.0,3,30.793199182180135,162.33333333333334,19.48,18.0,3.696098562628337,172.0,35.318275154004105
235516,R Mutumbami,2014-2020,right-hand bat,wicketkeeper batter,Zimbabwe,36,34.0,618.0,72.96,19.31,2.0,0.0,3.0,61.0,13.0,6,30.53771756800693,103.0,18.176470588235293,78.0,12.62135922330097,244.0,39.482200647249186
827051,B Muzarabani,2018-2022,right-hand bat,bowler,Zimbabwe,33,27.0,64.0,35.75,3.36,8.0,0.0,0.0,5.0,1.0,4,6.142674507798517,16.0,2.3703703703703702,6.0,9.375,20.0,31.25
